Log HR Apixaban Stroke,Log HR Apixaban MI,Log HR Apixaban Bleed,Log HR Apixaban ICH,Log HR Apixaban Death,Log HR Apixaban SE,Log HR Apixaban TIA,Log HR Dabigatran Stroke,Log HR Dabigatran MI,Log HR Dabigatran Bleed,Log HR Dabigatran ICH,Log HR Dabigatran Death,Log HR Dabigatran SE,Log HR Dabigatran TIA,Log HR Edoxaban Stroke,Log HR Edoxaban MI,Log HR Edoxaban Bleed,Log HR Edoxaban ICH,Log HR Edoxaban Death,Log HR Edoxaban SE,Log HR Edoxaban TIA
-0.2455,-0.1754,-0.2766,-0.5942,-0.193,-0.4947,-0.0483,-0.1516,0.194,0.08138,-0.9455,-0.09712,-0.3659,2.007,0.07315,-0.2897,-0.1489,-0.7539,-0.09918,-1.294,1.362
-0.2455,-0.3356,-0.2766,-0.5942,-0.1817,-0.4947,-0.0483,-0.1516,0.194,0.08138,-0.9455,-0.09712,-0.3659,-0.2829,0.07315,-0.2897,-0.1503,-0.7539,-0.09918,-1.294,0.06402
-0.2455,-0.3356,-0.2629,-0.5942,-0.09235,-0.4947,-0.0483,-0.1516,0.194,0.08138,-0.9455,-0.08512,-0.447,-2.017,0.07315,-0.2591,-0.1503,-0.7539,-0.07514,-1.008,-1.314
-0.2455,-0.4076,-0.2629,-0.5942,-0.0952,-0.4947,-0.0483,-0.3346,0.194,0.155,-0.9455,-0.08512,-0.447,-1.855,0.07315,-0.2591,-0.1503,-0.7539,-0.07514,-1.008,-0.7711
-0.2455,-0.4076,-0.2629,-0.5942,-0.0952,-0.4947,-0.0483,-0.3346,0.1716,0.155,-0.9455,-0.08512,-0.1834,-0.1253,0.07315,-0.2591,-0.1503,-0.7539,-0.07514,-1.008,0.1161
-0.2455,-0.2966,-0.2629,-0.6843,-0.1059,-0.4947,-0.0483,-0.1178,0.1716,0.155,-0.9455,-0.1503,-0.1834,1.529,-0.06164,-0.2591,-0.1451,-0.8121,-0.07514,-1.008,0.1934
-0.2455,-0.2966,-0.2629,-0.4946,-0.1059,-0.4947,-0.1091,-0.3143,0.1716,0.155,-0.9455,-0.2174,-0.1834,-0.9426,-0.1618,-0.2591,-0.1451,-0.8121,-0.1016,-1.008,-0.4191
-0.2455,-0.2966,-0.2629,-0.4112,-0.1059,-0.4947,-0.1091,-0.1364,0.1716,0.155,-0.9455,-0.2174,-0.1834,0.7923,-0.1618,-0.2591,-0.1278,-0.6628,-0.1016,-1.008,-0.9885
-0.2675,-0.06857,-0.2629,-0.5822,-0.1059,-0.4947,-0.1091,-0.3498,0.1716,0.1932,-0.9455,-0.2174,-0.1834,1.398,0.03651,-0.2591,-0.1278,-0.6628,-0.1016,-1.008,-1.916
-0.08914,-0.06857,-0.2629,-0.5822,-0.1059,-0.4947,-0.1091,-0.3498,0.2415,0.1932,-0.8942,-0.2174,-0.2902,-0.3155,0.03651,-0.2591,-0.1278,-0.7493,-0.0936,-1.008,1.368
-0.08914,-0.06857,-0.2629,-0.5153,-0.1059,-0.4947,-1.353,-0.3498,0.2415,0.1813,-1.048,-0.2174,-0.2902,1.239,0.03651,-0.2591,-0.1278,-0.7493,-0.0936,-1.226,-0.5832
-0.06551,-0.2103,-0.2629,-0.5153,-0.1059,-0.4947,-1.353,-0.3498,0.2415,0.1813,-1.048,-0.2092,-0.3319,0.5448,0.07015,-0.2591,-0.1278,-0.7493,-0.04308,-1.028,0.1506
0.0152,-0.2103,-0.2629,-0.5153,-0.1059,-0.4947,-1.353,-0.3498,0.2415,0.1813,-1.048,-0.2092,-0.3319,0.1966,-0.05733,-0.2591,-0.1278,-0.7493,-0.04308,-1.028,1.164
0.1025,-0.2103,-0.2629,-0.5153,-0.09113,-0.4947,-1.353,-0.3498,0.2415,0.1813,-0.995,-0.2021,-0.3319,0.1043,-0.05733,-0.2591,-0.1278,-0.7493,-0.1061,-1.028,0.5755
0.03595,-0.2103,-0.2267,-0.5153,-0.09113,-0.4947,-1.353,-0.3498,0.2415,0.1813,-0.995,-0.2021,-0.3319,1.006,0.1092,-0.1224,-0.1278,-0.7493,-0.1332,-0.4567,1.265
0.03595,-0.2103,-0.2267,-0.5153,-0.09113,-0.4947,-2.579,-0.3498,0.2415,0.2702,-0.995,-0.2021,-0.245,2.54,0.1092,-0.1224,-0.1278,-0.5665,-0.1519,-0.4036,0.5575
-0.01778,-0.2103,-0.2267,-0.5153,-0.09113,-0.4947,-2.579,-0.3498,0.2415,0.2702,-0.995,-0.1449,-0.272,-0.6576,0.1092,-0.1224,-0.1833,-0.5665,-0.1519,-0.7548,0.6733
0.0448,-0.2103,-0.2267,-0.5153,-0.09113,-0.7108,-2.579,-0.3498,0.2415,0.2702,-0.995,-0.1449,-0.272,-0.001836,0.08994,-0.1847,-0.1833,-0.512,-0.1519,-0.5037,-0.9687
0.0448,-0.2103,-0.2267,-0.4761,-0.09113,-0.5991,-1.598,-0.3498,0.2415,0.04323,-0.995,-0.09217,-0.2677,-0.6673,0.08994,-0.1847,-0.1833,-0.507,-0.1519,-0.5037,-1.041
0.0448,-0.2103,-0.2267,-0.4761,-0.09113,-0.5991,-1.598,-0.3498,0.175,0.04323,-0.995,-0.2981,-0.1448,0.9065,0.08994,-0.1847,-0.1833,-0.507,-0.1118,-0.5927,-2.974
0.0448,-0.2103,-0.2267,-0.4761,-0.09113,-0.5991,-0.7729,-0.3282,0.1883,0.04323,-0.995,-0.0561,-0.2645,1.254,0.08994,-0.2195,-0.1833,-0.507,-0.1118,-0.5927,0.5999
0.0448,-0.2103,-0.2267,-0.5454,-0.1273,-0.5991,-0.7219,-0.3259,0.1883,0.06963,-0.995,-0.1584,-0.2645,-1.871,0.08994,-0.184,-0.1833,-0.507,-0.1118,-0.5927,2.168
0.0448,-0.2103,-0.2267,-0.5454,-0.1273,-0.7518,-0.7219,-0.3259,0.1883,0.06963,-0.995,-0.1584,-0.3413,-1.602,0.08994,0.1387,-0.1833,-0.6374,-0.1118,-0.5927,1.978
-0.1455,-0.2103,-0.2267,-0.9088,-0.1027,-0.7518,-0.7219,-0.3259,0.1883,0.1569,-1.111,-0.1584,-0.3413,0.58,0.08994,0.1387,-0.1833,-0.5496,-0.1118,-0.5927,-0.4706
-0.03559,-0.1631,-0.2392,-0.9088,-0.1027,-0.7068,-0.7219,-0.3259,0.1883,0.1569,-1.111,-0.1584,-0.3413,-0.1987,0.1017,0.1387,-0.1729,-0.5496,-0.1118,-0.5927,0.4849
-0.03559,-0.1631,-0.2392,-0.9088,-0.1027,-0.7068,-0.7219,-0.3259,0.1883,0.1569,-1.013,-0.1584,-0.3413,-1.201,0.1017,0.1872,-0.1729,-0.5496,-0.1118,-0.1746,1.054
-0.1429,-0.1631,-0.2392,-0.7332,-0.1027,-0.7068,1.48,-0.4128,0.1883,0.1569,-1.013,-0.1083,-0.3413,-2.582,0.1017,0.1872,-0.1729,-0.6439,-0.1118,-0.1746,-0.1652
-0.1429,-0.1631,-0.2609,-0.7332,-0.1359,-0.7068,1.48,-0.4128,0.1883,0.08992,-0.937,-0.1083,-0.3413,-1.463,0.192,0.1872,-0.163,-0.6439,-0.1118,-0.1746,1.04
